기간,자치구,동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
2021.3/4,강서구,가양1동,"20,400","13,484","2,839","2,028","1,592",357,78,14,4,3,1
2021.3/4,강서구,가양2동,"8,083","4,443","2,076",933,482,110,24,12,1,1,1
2021.3/4,강서구,가양3동,"7,911","3,575","2,362","1,236",568,141,21,7,1,0,0
2021.3/4,강서구,발산1동,"13,330","2,968","3,130","3,018","3,282",770,128,26,6,2,0
2021.3/4,강서구,공항동,"14,095","5,898","3,091","2,443","2,007",526,104,21,4,1,0
2021.3/4,강서구,방화1동,"17,302","5,209","4,049","3,598","3,410",844,151,34,4,1,2
2021.3/4,강서구,방화2동,"11,923","5,907","2,755","1,718","1,153",295,74,15,2,1,3
2021.3/4,강서구,방화3동,"11,264","5,028","2,891","1,772","1,211",264,76,18,2,2,0
2021.3/4,강서구,화곡1동,"27,515","14,112","6,370","3,967","2,351",548,114,35,13,3,2
2021.3/4,강서구,우장산동,"16,109","4,041","3,415","3,665","4,017",784,141,27,16,1,2
2021.3/4,구로구,신도림동,"13,469","3,166","3,162","3,286","3,122",560,131,30,7,5,0
2021.3/4,구로구,구로1동,"8,331","2,370","2,015","1,815","1,722",334,59,12,3,1,0
2021.3/4,구로구,구로3동,"13,289","7,921","2,372","1,540","1,111",272,52,16,4,1,0
2021.3/4,구로구,구로4동,"10,649","5,505","2,540","1,466",907,183,33,10,4,1,0
2021.3/4,구로구,구로5동,"15,033","7,703","3,117","2,157","1,588",363,81,19,4,1,0
2021.3/4,구로구,고척1동,"9,477","3,159","2,320","1,848","1,700",360,76,10,3,1,0
2021.3/4,구로구,고척2동,"11,519","3,989","2,862","2,239","1,915",404,100,8,2,0,0
2021.3/4,구로구,개봉2동,"12,569","3,401","3,552","2,794","2,169",485,124,34,8,1,1
2021.3/4,구로구,개봉3동,"8,792","2,867","2,479","1,796","1,294",288,54,9,4,1,0
2021.3/4,구로구,오류1동,"12,127","6,483","2,588","1,622","1,093",263,56,12,6,2,2
2021.3/4,구로구,수궁동,"10,031","3,174","2,774","2,066","1,509",392,99,10,5,2,0
2021.3/4,구로구,가리봉동,"5,923","4,203",974,436,245,51,8,5,0,0,1
2021.3/4,구로구,구로2동,"12,628","6,484","2,956","1,750","1,069",279,59,25,2,3,1
2021.3/4,구로구,개봉1동,"14,941","5,356","3,900","2,867","2,175",504,99,32,5,2,1
2021.3/4,구로구,오류2동,"15,503","4,642","4,074","3,003","2,785",792,162,31,6,3,5
2021.3/4,구로구,항동,"6,143","1,497","1,339","1,556","1,379",304,51,13,3,1,0
2021.3/4,금천구,가산동,"16,536","12,550","2,112","1,070",623,143,33,3,1,0,1
2021.3/4,금천구,독산1동,"22,754","11,826","4,539","3,145","2,511",579,113,27,9,3,2
2021.3/4,금천구,독산2동,"9,519","4,487","2,346","1,441",981,216,38,5,5,0,0
2021.3/4,금천구,독산3동,"12,633","6,315","3,006","1,804","1,173",269,50,11,3,2,0
2021.3/4,금천구,독산4동,"7,678","3,650","1,825","1,162",789,204,38,6,1,3,0
2021.3/4,금천구,시흥1동,"16,004","7,231","3,808","2,530","1,907",425,77,21,3,1,1
2021.3/4,금천구,시흥2동,"8,263","2,108","2,207","1,786","1,607",414,100,28,10,2,1
